X_UTM,Y_UTM,ELEV_M,SUR_METHOD,QUAD_NAME
562364.12,2823325.00,0.59,Truck,Goulds
561156.43,2823294.69,0.90,Truck,Goulds
562585.73,2830901.50,2.65,Truck,Goulds
562223.48,2830571.79,3.22,Truck,Goulds
561729.53,2830144.27,3.24,Truck,Goulds
560056.69,2829400.44,2.59,Truck,Goulds
559781.52,2829399.25,2.57,Truck,Goulds
559337.21,2829389.90,3.21,Truck,Goulds
558924.43,2829382.49,3.72,Truck,Goulds
558521.57,2829375.49,3.47,Truck,Goulds
558100.02,2829369.61,3.19,Truck,Goulds
557673.96,2829362.29,3.72,Truck,Goulds
556459.53,2829345.78,2.69,Truck,Goulds
556077.32,2829341.24,2.67,Truck,Goulds
555649.95,2829330.91,3.41,Truck,Goulds
555214.39,2829323.78,2.93,Truck,Goulds
554839.12,2829314.94,2.81,Truck,Goulds
554463.28,2829305.77,2.93,Truck,Goulds
554021.96,2829296.51,2.59,Truck,Goulds
561981.73,2823265.10,0.99,Truck,Goulds
561530.96,2823307.15,1.11,Truck,Goulds
559923.66,2823001.05,1.50,Truck,Goulds
562531.89,2831285.93,2.50,Truck,Goulds
562167.93,2831267.65,3.00,Truck,Goulds
561760.58,2831252.36,2.78,Truck,Goulds
561361.79,2831234.99,3.37,Truck,Goulds
560952.43,2831218.32,3.42,Truck,Goulds
560538.84,2831203.18,3.37,Truck,Goulds
560126.31,2831186.33,2.45,Truck,Goulds
559726.27,2831170.70,2.38,Truck,Goulds
559324.29,2831154.06,2.43,Truck,Goulds
558912.00,2831141.02,3.93,Truck,Goulds
558540.21,2831121.43,2.35,Truck,Goulds
558083.87,2831100.16,3.20,Truck,Goulds
557671.03,2831081.45,4.26,Truck,Goulds
560137.31,2830772.58,2.32,Truck,Goulds
555662.35,2829855.41,3.04,Truck,Goulds
555206.28,2829848.25,2.81,Truck,Goulds
554829.59,2829841.73,2.53,Truck,Goulds
554489.61,2829834.94,2.82,Truck,Goulds
552797.63,2829679.18,2.99,Truck,Goulds
558455.75,2832577.02,2.39,Truck,Goulds
558145.23,2831926.13,2.19,Truck,Goulds
558604.59,2822153.38,1.43,Truck,Goulds
557494.01,2822528.19,2.42,Truck,Goulds
550306.12,2832453.84,2.28,Truck,Goulds
550346.62,2830549.42,2.04,Truck,Goulds
550344.70,2831651.90,2.12,Truck,Goulds
550378.43,2827185.36,2.51,Truck,Goulds
550370.96,2827591.58,2.51,Truck,Goulds
550375.71,2826785.60,2.43,Truck,Goulds
550376.29,2825165.04,2.58,Truck,Goulds
550394.36,2828410.72,2.28,Truck,Goulds
550403.81,2824775.42,2.40,Truck,Goulds
550401.19,2829210.83,2.10,Truck,Goulds
550409.20,2824000.70,2.48,Truck,Goulds
550402.62,2824357.44,2.55,Truck,Goulds
550412.37,2823543.65,2.57,Truck,Goulds
550439.94,2828002.22,2.35,Truck,Goulds
550411.39,2830032.99,2.83,Truck,Goulds
550416.03,2822733.98,2.49,Truck,Goulds
550439.18,2825985.52,2.51,Truck,Goulds
550438.76,2821100.84,2.85,Truck,Goulds
550689.13,2832852.41,2.23,Truck,Goulds
550673.31,2833247.36,2.17,Truck,Goulds
550683.98,2833859.10,2.12,Truck,Goulds
550712.98,2832456.64,2.28,Truck,Goulds
550727.61,2832044.17,2.16,Truck,Goulds
550740.71,2831655.38,2.12,Truck,Goulds
550755.09,2830552.22,2.11,Truck,Goulds
550754.24,2831254.31,1.97,Truck,Goulds
550753.14,2830036.74,2.47,Truck,Goulds
550766.21,2828811.10,2.45,Truck,Goulds
550774.23,2830849.97,2.07,Truck,Goulds
550760.85,2829212.38,2.20,Truck,Goulds
550755.58,2829611.29,3.26,Truck,Goulds
550775.48,2828006.24,2.45,Truck,Goulds
550770.69,2828416.00,2.42,Truck,Goulds
550766.21,2825983.02,2.37,Truck,Goulds
550785.29,2827192.09,2.47,Truck,Goulds
550789.92,2826789.13,2.46,Truck,Goulds
550790.22,2826426.48,2.24,Truck,Goulds
550780.35,2827596.18,2.43,Truck,Goulds
550800.19,2825169.39,2.39,Truck,Goulds
550807.59,2825600.02,2.32,Truck,Goulds
550805.37,2824784.87,2.37,Truck,Goulds
550820.63,2823548.99,2.55,Truck,Goulds
550817.22,2823979.34,2.51,Truck,Goulds
550810.18,2824375.69,2.76,Truck,Goulds
550824.26,2823076.01,2.51,Truck,Goulds
550825.63,2822739.89,2.47,Truck,Goulds
550833.55,2822333.37,2.59,Truck,Goulds
550851.41,2821105.53,2.87,Truck,Goulds
550855.52,2820704.34,2.90,Truck,Goulds
551083.40,2833257.32,2.11,Truck,Goulds
551127.92,2832457.86,2.42,Truck,Goulds
551170.36,2830853.36,2.24,Truck,Goulds
551175.85,2828418.31,2.31,Truck,Goulds
551169.39,2829218.90,2.21,Truck,Goulds
551173.20,2828819.05,2.30,Truck,Goulds
551176.18,2827194.41,2.34,Truck,Goulds
551186.51,2827605.44,2.51,Truck,Goulds
551183.47,2828007.61,2.51,Truck,Goulds
551195.10,2825992.90,2.37,Truck,Goulds
551198.03,2826795.77,2.57,Truck,Goulds
551234.47,2822743.03,3.14,Truck,Goulds
551204.34,2822331.75,1.97,Truck,Goulds
551223.41,2823552.52,3.18,Truck,Goulds
551196.99,2824366.00,2.67,Truck,Goulds
551206.71,2824779.38,2.55,Truck,Goulds
551209.33,2830040.43,2.37,Truck,Goulds
551234.17,2820705.31,3.02,Truck,Goulds
551258.24,2821110.01,3.36,Truck,Goulds
551469.30,2833865.19,2.26,Truck,Goulds
